WYOMING,99596146,94489000,93742268,93675794,92971422,88271654,86540569,84527780,83700452,81181164,77033133,73056758,69303324,65889828,56760120,50936276,48229806,46318178,45599710,41012355,40234792,38136063;
;
;
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""National Public Education Financial Survey (State Fiscal)"" 2021-22 (FY 2022) v.1a  2021-22 (FY 2022) v.1b  2021-22 (FY 2022) v.1d  2021-22 (FY 2022) v.2a";" ""State Nonfiscal Public Elementary/Secondary Education Survey"" 2022-23 v.1a."
;
† indicates that the data are not applicable.;
– indicates that the data are missing.;
‡ indicates that the data do not meet NCES data quality standards.;
;
ELSI Export;
;
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/;
;
This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC;
